Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/2009;Italy;Colli Orientali del Friuli;Eclisse;90;$29.00;Northeastern Italy;La Roncaia 2009 Eclisse White (Colli Orientali del Friuli);White Blend;La Roncaia
01/01/2009;Italy;Chianti Classico;Fonterutoli;90;$28.00;Tuscany;Mazzei 2009 Fonterutoli (Chianti Classico);Sangiovese;Mazzei
01/01/2009;France;Alsace;Réserve;87;$22.00;Alsace;Lucien Albrecht 2009 Réserve Gewurztraminer (Alsace);Gewürztraminer;Lucien Albrecht
01/01/2009;Italy;Barolo;Riserva;85;$102.00;Piedmont;Marchesi di Barolo 2009 Riserva (Barolo);Nebbiolo;Marchesi di Barolo
01/01/2009;Italy;Barolo;Bricco Sarmassa;92;$70.00;Piedmont;Brezza 2009 Bricco Sarmassa (Barolo);Nebbiolo;Brezza
01/01/2009;Italy;Valpolicella Classico Superiore Ripasso;Pa' Riondo;90;$26.00;Veneto;Brunelli 2009 Pa' Riondo (Valpolicella Classico Superiore Ripasso);Corvina, Rondinella, Molinara;Brunelli
01/01/2009;Italy;Puglia;Kebir;86;$25.00;Southern Italy;Torrevento 2009 Kebir Red (Puglia);Red Blend;Torrevento
01/01/2009;France;Echézeaux;Echézeaux;95;$370.00;Burgundy;Domaine Jacques Prieur 2009 Echézeaux (Echézeaux);Pinot Noir;Domaine Jacques Prieur
01/01/2009;Italy;Salento;Codici;85;$11.00;Southern Italy;Mondo del Vino 2009 Codici Primitivo (Salento);Primitivo;Mondo del Vino
01/01/2009;Italy;Soave Classico;Monte Alto;87;$39.00;Veneto;Ca' Rugate 2009 Monte Alto (Soave Classico);Garganega;Ca' Rugate
01/01/2009;France;Beaujolais;Cuvée Terroir;86;$15.00;Beaujolais;Domaine Pral 2009 Cuvée Terroir (Beaujolais);Gamay;Domaine Pral
01/01/2009;Italy;Colli Orientali del Friuli;Biancosesto;90;$25.00;Northeastern Italy;La Tunella 2009 Biancosesto White (Colli Orientali del Friuli);White Blend;La Tunella
01/01/2009;France;Sainte-Foy Bordeaux;Triple A;87;$59.00;Bordeaux;Château l'Enclos 2009 Triple A (Sainte-Foy Bordeaux);Bordeaux-style Red Blend;Château l'Enclos
01/01/2009;Italy;Umbria;Foresco;87;$18.00;Central Italy;Barberani 2009 Foresco Red (Umbria);Red Blend;Barberani
01/01/2009;France;Alsace;Réserve;86;$24.00;Alsace;Gustave Lorentz 2009 Réserve Gewurztraminer (Alsace);Gewürztraminer;Gustave Lorentz
01/01/2009;France;Beaune;Clos des Mouches Premier Cru;92;$112.00;Burgundy;Chanson Père et Fils 2009 Clos des Mouches Premier Cru (Beaune);Pinot Noir;Chanson Père et Fils
01/01/2009;Italy;Toscana;Regina di Renieri;92;$30.00;Tuscany;Renieri 2009 Regina di Renieri Syrah (Toscana);Syrah;Renieri
01/01/2009;Italy;Amarone della Valpolicella;Zovo;85;$47.00;Veneto;Zanoni 2009 Zovo (Amarone della Valpolicella);Red Blend;Zanoni
01/01/2009;France;Bordeaux Supérieur;Réserve du Château;87;$17.00;Bordeaux;Château Pey la Tour 2009 Réserve du Château (Bordeaux Supérieur);Bordeaux-style Red Blend;Château Pey la Tour
01/01/2009;Italy;Amarone della Valpolicella;Monte Ca' Bianca;90;$78.00;Veneto;Begali 2009 Monte Ca' Bianca (Amarone della Valpolicella);Red Blend;Begali
01/01/2009;Italy;Umbria;Phi Natura Armonia;91;$49.00;Central Italy;Tenuta Vitalonga 2009 Phi Natura Armonia Red (Umbria);Red Blend;Tenuta Vitalonga
01/01/2009;Italy;Brunello di Montalcino;Campo del Drago;86;$80.00;Tuscany;Castiglion del Bosco 2009 Campo del Drago (Brunello di Montalcino);Sangiovese;Castiglion del Bosco
01/01/2009;France;Cornas;Les Ruchets;93;$84.00;Rhône Valley;Jean-Luc Colombo 2009 Les Ruchets (Cornas);Syrah;Jean-Luc Colombo
01/01/2009;Italy;Bolgheri Superiore;Baia al Vento;92;$33.00;Tuscany;Campo al Mare 2009 Baia al Vento (Bolgheri Superiore);Red Blend;Campo al Mare
01/01/2009;Italy;Franciacorta;Brut Nature;87;$45.00;Lombardy;Ronco Calino 2009 Brut Nature Sparkling (Franciacorta);Sparkling Blend;Ronco Calino
01/01/2009;Italy;Brunello di Montalcino;Poggio Abate Riserva;90;$81.00;Tuscany;Tenute del Cerro 2009 Poggio Abate Riserva (Brunello di Montalcino);Sangiovese;Tenute del Cerro
01/01/2009;France;Châteauneuf-du-Pape;Domaine La Crau des Papes;92;$44.00;Rhône Valley;Louis Bernard 2009 Domaine La Crau des Papes Red (Châteauneuf-du-Pape);Rhône-style Red Blend;Louis Bernard
01/01/2009;France;Saint-Joseph;Terre de Granit;87;$28.00;Rhône Valley;Cave de Tain 2009 Terre de Granit (Saint-Joseph);Syrah;Cave de Tain
01/01/2009;France;Madiran;Château Bouscassé;94;$20.00;Southwest France;Alain Brumont 2009 Château Bouscassé Red (Madiran);Red Blend;Alain Brumont
01/01/2009;France;Sauternes;Cuvée Exceptionelle;90;$40.00;Bordeaux;Château Simon 2009 Cuvée Exceptionelle (Sauternes);Bordeaux-style White Blend;Château Simon
01/01/2009;Italy;Isola dei Nuraghi;Essentija;89;$30.00;Sicily & Sardinia;Pala 2009 Essentija Bovale (Isola dei Nuraghi);Bovale;Pala
01/01/2009;France;Saint-Aubin;Le Charmois Premier Cru;86;$30.00;Burgundy;Michel Picard 2009 Le Charmois Premier Cru (Saint-Aubin);Pinot Noir;Michel Picard
01/01/2009;Italy;Chianti Classico;Bellezza Riserva;91;$30.00;Tuscany;Castello di Gabbiano 2009 Bellezza Riserva (Chianti Classico);Sangiovese;Castello di Gabbiano
01/01/2009;France;Bourgogne;Millénaire;88;$26.00;Burgundy;Henri de Villamont 2009 Millénaire (Bourgogne);Chardonnay;Henri de Villamont
01/01/2009;Italy;Salina;Capofaro;93;$66.00;Sicily & Sardinia;Tasca d'Almerita 2009 Capofaro Malvasia (Salina);Malvasia;Tasca d'Almerita
01/01/2009;France;Côtes du Rhône;Samorëns;89;$14.00;Rhône Valley;Ferraton Pere et Fils 2009 Samorëns Red (Côtes du Rhône);Rhône-style Red Blend;Ferraton Pere et Fils
01/01/2009;Italy;Friuli Isonzo;Gris;89;$28.00;Northeastern Italy;Lis Neris 2009 Gris Pinot Grigio (Friuli Isonzo);Pinot Grigio;Lis Neris
01/01/2009;Italy;Sicilia;Tancredi;89;$45.00;Sicily & Sardinia;Donnafugata 2009 Tancredi Red (Sicilia);Red Blend;Donnafugata
01/01/2009;Italy;Chianti Classico;Riserva Castello di Bibbione;90;$38.00;Tuscany;Castelli del Grevepesa 2009 Riserva Castello di Bibbione (Chianti Classico);Sangiovese;Castelli del Grevepesa
01/01/2009;France;Vouvray;Clos du Bourg Première Trie Moelleux;97;$69.00;Loire Valley;Domaine Huët 2009 Clos du Bourg Première Trie Moelleux (Vouvray);Chenin Blanc;Domaine Huët
01/01/2009;France;Madiran;Dou Barringuet;94;$40.00;Southwest France;Château de Gayon 2009 Dou Barringuet Tannat-Cabernet (Madiran);Tannat-Cabernet;Château de Gayon
01/01/2009;Italy;Cortona;Solitario;87;$45.00;Tuscany;Leuta 2009 Solitario Sangiovese (Cortona);Sangiovese;Leuta
01/01/2009;Italy;Venezia Giulia;Ponka;86;$22.00;Northeastern Italy;Paraschos 2009 Ponka White (Venezia Giulia);White Blend;Paraschos
01/01/2009;France;Cahors;La Roque;91;$25.00;Southwest France;Mas del Périé 2009 La Roque Malbec (Cahors);Malbec;Mas del Périé
01/01/2009;France;Bourgogne;Domaine des Perdrix;87;$35.00;Burgundy;Domaines Devillard 2009 Domaine des Perdrix (Bourgogne);Pinot Noir;Domaines Devillard
01/01/2009;Italy;Barbaresco;Pora Riserva;91;$65.00;Piedmont;Produttori del Barbaresco 2009 Pora Riserva (Barbaresco);Nebbiolo;Produttori del Barbaresco
01/01/2009;Italy;Lacryma Christi del Vesuvio;Versacrum;85;$18.00;Southern Italy;Sorrentino 2009 Versacrum Coda di Volpe (Lacryma Christi del Vesuvio);Coda di Volpe;Sorrentino
01/01/2009;France;Saumur-Champigny;Clos Cristal;89;$24.00;Loire Valley;Hospices de Saumur 2009 Clos Cristal (Saumur-Champigny);Cabernet Franc;Hospices de Saumur
01/01/2009;Italy;Toscana;Rosso Maniero;86;$13.00;Tuscany;Casaloste 2009 Rosso Maniero Red (Toscana);Red Blend;Casaloste
01/01/2009;Italy;Chianti Classico;Famiglia Zingarelli;88;$17.00;Tuscany;Rocca delle MacÃ¬e 2009 Famiglia Zingarelli (Chianti Classico);Sangiovese;Rocca delle MacÃ¬e
01/01/2009;France;Gaillac;L'Ame;93;$45.00;Southwest France;Domaine Rotier 2009 L'Ame Red (Gaillac);Red Blend;Domaine Rotier
01/01/2009;Italy;Rosso di Montalcino;La Togata;88;$36.00;Tuscany;Tenuta Carlina 2009 La Togata (Rosso di Montalcino);Sangiovese Grosso;Tenuta Carlina
01/01/2009;Italy;Barolo;Rocche dell'Annunziata;90;$55.00;Piedmont;Rocche Costamagna 2009 Rocche dell'Annunziata (Barolo);Nebbiolo;Rocche Costamagna
01/01/2009;France;Beaune;Domaine de la Créa Les Cent Vignes Premier Cru;88;$41.00;Burgundy;Louis Max 2009 Domaine de la Créa Les Cent Vignes Premier Cru (Beaune);Pinot Noir;Louis Max
01/01/2009;France;Vin de Pays d'Oc;Reserve;87;$13.00;Languedoc-Roussillon;Domaines Astruc 2009 Reserve Merlot (Vin de Pays d'Oc);Merlot;Domaines Astruc
01/01/2009;France;Champagne;L'Intemporelle Grand Cru Brut;92;$100.00;Champagne;Mailly Grand Cru 2009 L'Intemporelle Grand Cru Brut (Champagne);Champagne Blend;Mailly Grand Cru
01/01/2009;France;Cahors;No 46;89;$19.00;Southwest France;Château du Cayrou 2009 No 46 Malbec (Cahors);Malbec;Château du Cayrou
01/01/2009;France;Alsace;Clos Saint Urbain Rangen de Thann Grand Cru;95;$74.00;Alsace;Domaine Zind-Humbrecht 2009 Clos Saint Urbain Rangen de Thann Grand Cru Pinot Gris (Alsace);Pinot Gris;Domaine Zind-Humbrecht
01/01/2009;Italy;Brunello di Montalcino;Vigna Manapetra Riserva;87;$58.00;Tuscany;Fattoria La Lecciaia 2009 Vigna Manapetra Riserva (Brunello di Montalcino);Sangiovese;Fattoria La Lecciaia
01/01/2009;Italy;Montepulciano d'Abruzzo;Riserva Colle Secco;84;$14.00;Central Italy;Cantina Tollo 2009 Riserva Colle Secco (Montepulciano d'Abruzzo);Montepulciano;Cantina Tollo
01/01/2009;Italy;Amarone della Valpolicella Classico;Riserva Sergio Zenato;92;$107.00;Veneto;Zenato 2009 Riserva Sergio Zenato (Amarone della Valpolicella Classico);Red Blend;Zenato
01/01/2009;Italy;Toscana;Badiola;88;$15.00;Tuscany;Mazzei 2009 Badiola Red (Toscana);Red Blend;Mazzei
01/01/2009;Italy;Alto Adige;Grauer;88;$29.00;Northeastern Italy;Erste Neue 2009 Grauer Pinot Grigio (Alto Adige);Pinot Grigio;Erste Neue
01/01/2009;France;Sancerre;Les Royaux;89;$50.00;Loire Valley;Domaine Laporte 2009 Les Royaux (Sancerre);Pinot Noir;Domaine Laporte
01/01/2009;Italy;Barolo;Leon Riserva;92;$75.00;Piedmont;Rivetto 2009 Leon Riserva (Barolo);Nebbiolo;Rivetto
01/01/2009;Italy;Barolo;Bricco Pernice;93;$98.00;Piedmont;Elvio Cogno 2009 Bricco Pernice (Barolo);Nebbiolo;Elvio Cogno
01/01/2009;France;Vin de Pays d'Oc;Nord Sud;86;$14.00;Languedoc-Roussillon;Laurent Miquel 2009 Nord Sud Viognier (Vin de Pays d'Oc);Viognier;Laurent Miquel
01/01/2009;France;Romanée-St.-Vivant;Les Quatre Journaux;93;$425.00;Burgundy;Louis Latour 2009 Les Quatre Journaux (Romanée-St.-Vivant);Pinot Noir;Louis Latour
01/01/2009;France;Champagne;Cuvée Royale Blanc de Noirs Brut Nature;89;$100.00;Champagne;Joseph Perrier 2009 Cuvée Royale Blanc de Noirs Brut Nature Pinot Noir (Champagne);Pinot Noir;Joseph Perrier
01/01/2009;Italy;Delle Venezie;Masianco;87;$16.00;Northeastern Italy;Masi 2009 Masianco White (Delle Venezie);White Blend;Masi
01/01/2009;Italy;Brunello di Montalcino;Due Sorelle Riserva;87;$60.00;Tuscany;Tenuta La Fuga 2009 Due Sorelle Riserva (Brunello di Montalcino);Sangiovese;Tenuta La Fuga
01/01/2009;Italy;Verdicchio dei Castelli di Jesi Classico Superiore;Casal di Serra;87;$17.00;Central Italy;Umani Ronchi 2009 Casal di Serra (Verdicchio dei Castelli di Jesi Classico Superiore);Verdicchio;Umani Ronchi
01/01/2009;Italy;Aglianico del Vulture;Gricos;87;$11.00;Southern Italy;Lucania 2009 Gricos (Aglianico del Vulture);Aglianico;Lucania
01/01/2009;Italy;Barolo;Cascina Ferrero;91;$50.00;Piedmont;Tenuta Carretta 2009 Cascina Ferrero (Barolo);Nebbiolo;Tenuta Carretta
01/01/2009;Italy;Primitivo di Manduria;Sessantanni Old Vines;88;$42.00;Southern Italy;Feudi di San Marzano 2009 Sessantanni Old Vines (Primitivo di Manduria);Primitivo;Feudi di San Marzano
01/01/2009;Italy;Lugana;Cento Filari;88;$22.00;Lombardy;Cesari 2009 Cento Filari (Lugana);White Blend;Cesari
01/01/2009;France;Cahors;Cuvée X;92;$30.00;Southwest France;Château Famaey 2009 Cuvée X Malbec (Cahors);Malbec;Château Famaey
01/01/2009;Italy;Sicilia;C'D'C';86;$17.00;Sicily & Sardinia;Baglio del Cristo di Campobello 2009 C'D'C' White (Sicilia);White Blend;Baglio del Cristo di Campobello
01/01/2009;France;Mâcon-Pierreclos;Cuvée FÃ»t de ChÃªne;85;$25.00;Burgundy;Domaine Marc Jambon 2009 Cuvée FÃ»t de ChÃªne (Mâcon-Pierreclos);Chardonnay;Domaine Marc Jambon
01/01/2009;France;Ventoux;In Fine;88;$12.00;Rhône Valley;Bourgeois Family 2009 In Fine Red (Ventoux);Rhône-style Red Blend;Bourgeois Family
01/01/2009;France;Cornas;Areñes Sauvages;91;$50.00;Rhône Valley;Cave de Tain 2009 Areñes Sauvages (Cornas);Syrah;Cave de Tain
01/01/2009;Italy;Veneto;Cicogna;90;$35.00;Veneto;Domenico Cavazza 2009 Cicogna Syrah (Veneto);Syrah;Domenico Cavazza
01/01/2010;France;Chablis;Monte de Milieu Premier Cru;90;$35.00;Burgundy;La Chablisienne 2010 Monte de Milieu Premier Cru (Chablis);Chardonnay;La Chablisienne
01/01/2010;Italy;Brunello di Montalcino;Villa al Cortile;91;$65.00;Tuscany;Piccini 2010 Villa al Cortile (Brunello di Montalcino);Sangiovese;Piccini
01/01/2010;France;Volnay;Clos des Angles Premier Cru;91;$90.00;Burgundy;Olivier Leflaive 2010 Clos des Angles Premier Cru (Volnay);Pinot Noir;Olivier Leflaive
01/01/2010;Italy;Chianti Classico;Lodolaio Riserva;88;$55.00;Tuscany;Castelvecchi 2010 Lodolaio Riserva (Chianti Classico);Sangiovese;Castelvecchi
01/01/2010;France;Côtes de Provence;Whispering Angel;86;$20.00;Provence;Château d'Esclans 2010 Whispering Angel Rosé (Côtes de Provence);Rosé;Château d'Esclans
01/01/2010;Italy;Bolgheri;Volpolo;90;$40.00;Tuscany;Podere Sapaio 2010 Volpolo (Bolgheri);Red Blend;Podere Sapaio
01/01/2010;Italy;Cesanese del Piglio;Campo Novo;88;$16.00;Central Italy;Casale della Ioria 2010 Campo Novo (Cesanese del Piglio);Cesanese d'Affile;Casale della Ioria
01/01/2010;Italy;Toscana;Camartina;93;$160.00;Tuscany;Querciabella 2010 Camartina Red (Toscana);Red Blend;Querciabella
01/01/2010;Italy;Vino Nobile di Montepulciano;Il Saggio Riserva;88;$50.00;Tuscany;Antico Colle 2010 Il Saggio Riserva (Vino Nobile di Montepulciano);Sangiovese;Antico Colle
01/01/2010;Italy;Umbria;Terra di Confine;88;$30.00;Central Italy;Tenuta Vitalonga 2010 Terra di Confine Red (Umbria);Red Blend;Tenuta Vitalonga
01/01/2010;Italy;Vino Nobile di Montepulciano;Pietra Rossa;93;$50.00;Tuscany;Contucci 2010 Pietra Rossa (Vino Nobile di Montepulciano);Red Blend;Contucci
01/01/2010;France;Juliénas;Sélection;87;$13.00;Beaujolais;Georges Duboeuf 2010 Sélection (Juliénas);Gamay;Georges Duboeuf
01/01/2010;France;Vouvray;Clos du Bourg Sec;93;$30.00;Loire Valley;Domaine Huët 2010 Clos du Bourg Sec (Vouvray);Chenin Blanc;Domaine Huët
01/01/2010;France;Châteauneuf-du-Pape;Cuvée de Nalys;90;$20.00;Rhône Valley;Kirkland Signature 2010 Cuvée de Nalys Red (Châteauneuf-du-Pape);Rhône-style Red Blend;Kirkland Signature
01/01/2010;Italy;Brunello di Montalcino;Riserva;89;$80.00;Tuscany;Palazzo 2010 Riserva (Brunello di Montalcino);Sangiovese;Palazzo
01/01/2010;Italy;Amarone della Valpolicella Classico;Corte Vaona;93;$70.00;Veneto;Novaia 2010 Corte Vaona (Amarone della Valpolicella Classico);Red Blend;Novaia
01/01/2010;France;Bordeaux Supérieur;Cuvée Eden;85;$19.00;Bordeaux;Château l'Escart 2010 Cuvée Eden (Bordeaux Supérieur);Bordeaux-style Red Blend;Château l'Escart
01/01/2010;France;Bandol;Cuvée Estagnol;93;$29.00;Provence;La Bastide Blanche 2010 Cuvée Estagnol Mourvèdre (Bandol);Mourvèdre;La Bastide Blanche
01/01/2010;Italy;Bolgheri;Mosaico;91;$60.00;Tuscany;Casa di Terra 2010 Mosaico (Bolgheri);Red Blend;Casa di Terra
01/01/2010;France;Bergerac;Le Raisin;87;$14.00;Southwest France;Château Laulerie 2010 Le Raisin Merlot (Bergerac);Merlot;Château Laulerie
01/01/2010;France;Côtes du Rhône Villages;Sensation;87;$14.00;Rhône Valley;Domaine de la Berthète 2010 Sensation White (Côtes du Rhône Villages);Rhône-style White Blend;Domaine de la Berthète
01/01/2010;France;Alsace;Vendanges Tardives;95;$70.00;Alsace;Domaine Bernhard & Reibel 2010 Vendanges Tardives Riesling (Alsace);Riesling;Domaine Bernhard & Reibel
01/01/2010;France;Chinon;Le Grand Bouqueteau Réserve;92;$19.00;Loire Valley;Château du Coudray Montpensier 2010 Le Grand Bouqueteau Réserve (Chinon);Cabernet Franc;Château du Coudray Montpensier
01/01/2010;France;Châteauneuf-du-Pape;La Reine des Bois;94;$141.00;Rhône Valley;Domaine de la Mordorée 2010 La Reine des Bois Red (Châteauneuf-du-Pape);Rhône-style Red Blend;Domaine de la Mordorée
01/01/2010;France;Pouilly-Fumé;La Moynerie;91;$27.00;Loire Valley;Michel Redde et Fils 2010 La Moynerie (Pouilly-Fumé);Sauvignon Blanc;Michel Redde et Fils
01/01/2010;France;Chinon;Clos de l'Echo;91;$50.00;Loire Valley;Couly-Dutheil 2010 Clos de l'Echo (Chinon);Cabernet Franc;Couly-Dutheil
01/01/2010;Italy;Roero;For You Metodo Classico;87;$40.00;Piedmont;Demarie 2010 For You Metodo Classico (Roero);Arneis;Demarie
01/01/2010;Italy;Chianti Classico;Riserva;91;$35.00;Tuscany;Castellare di Castellina 2010 Riserva (Chianti Classico);Red Blend;Castellare di Castellina
01/01/2010;France;Côtes de Provence;Signature;86;$17.00;Provence;Château de Brigue 2010 Signature Red (Côtes de Provence);Rhône-style Red Blend;Château de Brigue
01/01/2010;France;Crozes-Hermitage;Les Hauts du Fief;90;$40.00;Rhône Valley;Cave de Tain 2010 Les Hauts du Fief (Crozes-Hermitage);Syrah;Cave de Tain
01/01/2010;Italy;Lambrusco di Modena;Rosé Metodo Classico;90;$30.00;Central Italy;Cantina della Volta 2010 Rosé Metodo Classico (Lambrusco di Modena);Lambrusco di Sorbara;Cantina della Volta
01/01/2010;France;Champagne;Millésime Brut;90;$30.00;Champagne;Lété-Vautrain 2010 Millésime Brut (Champagne);Champagne Blend;Lété-Vautrain
01/01/2010;France;Gevrey-Chambertin;Les Champonnets Premier Cru;91;$94.00;Burgundy;Domaine Heresztyn 2010 Les Champonnets Premier Cru (Gevrey-Chambertin);Pinot Noir;Domaine Heresztyn
01/01/2010;France;Luberon;Les Artèmes;85;$25.00;Rhône Valley;Domaine de la Citadelle 2010 Les Artèmes White (Luberon);Rhône-style White Blend;Domaine de la Citadelle
01/01/2010;Italy;Sicilia;I Versi;86;$8.00;Sicily & Sardinia;Fondo Antico 2010 I Versi Red (Sicilia);Red Blend;Fondo Antico
01/01/2010;France;Rully;Château de Rully La Pucelle Cuvée Comte R. de Ternay Premier Cru;92;$35.00;Burgundy;Antonin Rodet 2010 Château de Rully La Pucelle Cuvée Comte R. de Ternay Premier Cru (Rully);Chardonnay;Antonin Rodet
01/01/2010;France;Montagny;Premier Cru;89;$33.00;Burgundy;Henri de Villamont 2010 Premier Cru (Montagny);Chardonnay;Henri de Villamont
01/01/2010;Italy;Chianti Classico;Riserva;88;$35.00;Tuscany;Villa Calcinaia 2010 Riserva (Chianti Classico);Sangiovese;Villa Calcinaia
01/01/2010;France;Les Baux de Provence;Garrigues;90;$25.00;Provence;Domaine de la Vallongue 2010 Garrigues Red (Les Baux de Provence);Red Blend;Domaine de la Vallongue
01/01/2010;France;Pouilly-Fuissé;Clos Reyssie;87;$24.00;Burgundy;Georges Duboeuf 2010 Clos Reyssie (Pouilly-Fuissé);Chardonnay;Georges Duboeuf
01/01/2010;Italy;Brunello di Montalcino;Riserva;95;$85.00;Tuscany;Mocali 2010 Riserva (Brunello di Montalcino);Sangiovese;Mocali
01/01/2010;Italy;Toscana;Biserno;94;$175.00;Tuscany;Tenuta di Biserno 2010 Biserno Red (Toscana);Red Blend;Tenuta di Biserno
01/01/2010;Italy;Barolo;Cerretta;90;$115.00;Piedmont;Ca'Romè 2010 Cerretta (Barolo);Nebbiolo;Ca'Romè
01/01/2010;Italy;Morellino di Scansano;Ventaio;89;$27.00;Tuscany;Terre di Fiori 2010 Ventaio (Morellino di Scansano);Sangiovese;Terre di Fiori
01/01/2010;Italy;Cannonau di Sardegna;Keramos Riserva;89;$49.00;Sicily & Sardinia;Tenute Soletta 2010 Keramos Riserva (Cannonau di Sardegna);Cannonau;Tenute Soletta
01/01/2010;Italy;Brunello di Montalcino;Greppone Mazzi;90;$80.00;Tuscany;Ruffino 2010 Greppone Mazzi (Brunello di Montalcino);Sangiovese;Ruffino
01/01/2010;Italy;Barolo;Bricco Pernice;96;$110.00;Piedmont;Elvio Cogno 2010 Bricco Pernice (Barolo);Nebbiolo;Elvio Cogno
01/01/2010;Italy;Bolgheri;Casa al Piano;88;$18.00;Tuscany;Antonino Tringali-Casanuova 2010 Casa al Piano (Bolgheri);Red Blend;Antonino Tringali-Casanuova
01/01/2010;Italy;Barbaresco;Cascinotta;92;$50.00;Piedmont;Negro Angelo e Figli 2010 Cascinotta (Barbaresco);Nebbiolo;Negro Angelo e Figli
01/01/2010;Italy;Brunello di Montalcino;Vigna del Lago;89;$107.00;Tuscany;Val di Suga 2010 Vigna del Lago (Brunello di Montalcino);Sangiovese;Val di Suga
01/01/2010;France;Condrieu;Amour de Dieu;86;$85.00;Rhône Valley;Jean-Luc Colombo 2010 Amour de Dieu (Condrieu);Viognier;Jean-Luc Colombo
01/01/2010;Italy;Chianti Classico;Vigneto Odoardo Beccari Riserva;90;$30.00;Tuscany;Vignavecchia 2010 Vigneto Odoardo Beccari Riserva (Chianti Classico);Red Blend;Vignavecchia
01/01/2010;France;Touraine;Loire Valley;85;$14.00;Loire Valley;Sauvion 2010 Loire Valley Sauvignon Blanc (Touraine);Sauvignon Blanc;Sauvion
01/01/2010;France;Sancerre;Les Belles Côtes;89;$30.00;Loire Valley;Roger et Didier Raimbault 2010 Les Belles Côtes (Sancerre);Sauvignon Blanc;Roger et Didier Raimbault
01/01/2010;France;Cahors;Château Leret Réserve;84;$17.00;Southwest France;Georges Vigouroux 2010 Château Leret Réserve Malbec (Cahors);Malbec;Georges Vigouroux
01/01/2010;Italy;Barolo;Tebavio;90;$60.00;Piedmont;Tenuta L'Illuminata 2010 Tebavio (Barolo);Nebbiolo;Tenuta L'Illuminata
01/01/2010;France;Bordeaux;1844 Réserve;90;$15.00;Bordeaux;Cheval Quancard 2010 1844 Réserve (Bordeaux);Bordeaux-style Red Blend;Cheval Quancard
01/01/2010;France;Montagne-Saint-Émilion;Sélection Vieilles Vignes;89;$35.00;Bordeaux;Château Faizeau 2010 Sélection Vieilles Vignes (Montagne-Saint-Émilion);Bordeaux-style Red Blend;Château Faizeau
01/01/2010;Italy;Toscana;Aulus;89;$24.00;Tuscany;Fattoria San Felo 2010 Aulus Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Fattoria San Felo
01/01/2010;Italy;Barolo;Albe;94;$40.00;Piedmont;G D Vajra 2010 Albe (Barolo);Nebbiolo;G D Vajra
01/01/2010;Italy;Veneto;Dindarello;90;$19.00;Veneto;Maculan 2010 Dindarello Moscato (Veneto);Moscato;Maculan
01/01/2010;France;Meursault;Bouchères Premier Cru;90;$105.00;Burgundy;Olivier Leflaive 2010 Bouchères Premier Cru (Meursault);Chardonnay;Olivier Leflaive
01/01/2010;Italy;Verdicchio dei Castelli di Jesi Classico Superiore;Balciana;82;$25.00;Central Italy;Sartarelli 2010 Balciana (Verdicchio dei Castelli di Jesi Classico Superiore);Verdicchio;Sartarelli
01/01/2010;France;Bordeaux;Réserve;87;$15.00;Bordeaux;Cheval Quancard 2010 Réserve (Bordeaux);Bordeaux-style Red Blend;Cheval Quancard
01/01/2010;France;Côte de Brouilly;Domaine Rolland;88;$20.00;Beaujolais;Ferraud et Fils 2010 Domaine Rolland (Côte de Brouilly);Gamay;Ferraud et Fils
01/01/2010;France;Côtes de Provence;Le Château Rouge;84;$19.00;Provence;Château Thuerry 2010 Le Château Rouge Red (Côtes de Provence);Rhône-style Red Blend;Château Thuerry
01/01/2010;Italy;Barolo;Rocche dell'Annunziata;90;$45.00;Piedmont;Rocche Costamagna 2010 Rocche dell'Annunziata (Barolo);Nebbiolo;Rocche Costamagna
01/01/2010;France;Cadillac Côtes de Bordeaux;L'Artolie;91;$60.00;Bordeaux;Château Suau 2010 L'Artolie (Cadillac Côtes de Bordeaux);Bordeaux-style Red Blend;Château Suau
01/01/2010;Italy;Sicilia;Gerbino;82;$16.00;Sicily & Sardinia;Di Giovanna 2010 Gerbino Red (Sicilia);Red Blend;Di Giovanna
01/01/2010;Italy;Sicilia;Morsi di Luce;89;$25.00;Sicily & Sardinia;Florio 2010 Morsi di Luce Zibibbo (Sicilia);Zibibbo;Florio
01/01/2010;Italy;Carema;White Label;94;$60.00;Piedmont;Ferrando 2010 White Label (Carema);Nebbiolo;Ferrando
01/01/2010;France;Chablis;Vaudésir Grand Cru;92;$85.00;Burgundy;Olivier Leflaive 2010 Vaudésir Grand Cru (Chablis);Chardonnay;Olivier Leflaive
01/01/2010;Italy;Lugana;Madonna della Scoperta;85;$31.00;Lombardy;Perla del Garda 2010 Madonna della Scoperta (Lugana);Turbiana;Perla del Garda
01/01/2010;France;Coteaux d'Aix-en-Provence;Terre des Anges;92;$25.00;Provence;Château Paradis 2010 Terre des Anges Red (Coteaux d'Aix-en-Provence);Red Blend;Château Paradis
01/01/2010;Italy;Toscana;Le Maestrelle;87;$12.00;Tuscany;Santa Cristina 2010 Le Maestrelle Red (Toscana);Red Blend;Santa Cristina
01/01/2010;France;Muscadet Sèvre et Maine;Monnières-Saint-Fiacre;90;$28.00;Loire Valley;Domaine du Fief aux Dames 2010 Monnières-Saint-Fiacre (Muscadet Sèvre et Maine);Melon;Domaine du Fief aux Dames
